city_name,city_name_secret,latitutude,longitude,cluster name
Зеленогорск,Красноярск-45,56.0939,94.5832,1
Железногорск,Красноярск-26,56.2439,93.5333,1
,,,,
,,,,
Новоуральск,Свердловск-44,57.2441,60.083,
Маяк,Челябинск-65,,,1
Озерск,Челябинск-40,55.7485,60.7166,
,,,,
,,,,
Северск,Томск-7,56.0772,60.7333,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Ангарск Chemical Plant,,52.5156,103.9172,1
